"gene_name","Col0_0h_rep1","Col0_0h_rep2","Col0_0h_rep3","Col0_24h_rep1","Col0_24h_rep2","Col0_24h_rep3"
"AT1G01010","569","857","1167","1265","1227","1336"
"AT1G01020","327","378","380","346","413","315"
"AT1G01030","106","102","79","53","67","33"
"AT1G01040","1704","1895","2012","2051","2609","1969"
"AT1G01046","12","9","15","8","16","15"
"AT1G01050","4059","3067","2852","2248","2528","1756"
"AT1G01060","1272","4948","4013","4055","6326","4606"
"AT1G01070","472","411","279","553","449","400"
"AT1G01073","0","0","2","0","0","1"
"AT1G01080","1509","1225","1477","637","821","572"
"AT1G01090","6108","6960","5845","6768","6620","5252"
"AT1G01100","3239","3613","4091","2760","3085","2762"
"AT1G01110","414","380","380","316","286","224"
"AT1G01115","0","0","0","0","0","0"
"AT1G01120","14561","17925","17114","22961","19709","19601"
"AT1G01130","50","67","113","57","67","53"
"AT1G01140","3761","2564","1625","2530","1998","1710"
"AT1G01150","1","2","5","1","1","4"
"AT1G01160","783","831","824","930","1021","792"
"AT1G01170","1876","1337","859","823","1008","573"
"AT1G01180","641","1019","698","1853","1780","1809"
"AT1G01183","0","0","3","0","0","0"
"AT1G01190","19","28","59","67","63","48"
"AT1G01200","336","276","338","332","200","200"
"AT1G01210","154","152","225","201","217","210"
"AT1G01220","926","870","1065","722","799","642"
"AT1G01225","78","110","142","112","108","67"
"AT1G01230","1673","1550","1467","1574","1540","1395"
"AT1G01240","1103","1012","875","1042","1265","904"
"AT1G01250","3","4","8","2","5","5"
"AT1G01260","1108","979","1168","1174","1371","1168"
"AT1G01270","0","0","0","0","0","0"
"AT1G01280","0","0","0","0","0","0"
"AT1G01290","377","375","502","397","524","423"
"AT1G01300","4234","3574","3239","3397","2678","2452"
"AT1G01305","0","0","0","0","0","0"
"AT1G01310","1","1","5","1","1","1"
"AT1G01320","9647","10618","9179","3595","6348","2878"
"AT1G01340","160","645","862","873","986","1086"
"AT1G01350","884","895","875","835","939","747"
"AT1G01355","6","4","4","10","5","4"
"AT1G01360","668","556","585","576","688","616"
"AT1G01370","93","89","119","112","108","80"
"AT1G01380","225","108","127","63","53","36"
"AT1G01390","725","564","551","363","424","187"
"AT1G01400","0","0","2","1","0","0"
"AT1G01410","0","0","0","0","0","0"
"AT1G01420","109","150","204","153","169","123"
"AT1G01430","3086","3218","3336","4121","4012","3459"
"AT1G01440","1023","1085","1195","1491","1439","1284"
"AT1G01448","416","400","329","415","467","307"
"AT1G01450","0","0","0","0","0","0"
"AT1G01453","20","10","23","1","1","0"
"AT1G01460","0","1","0","0","3","4"
"AT1G01470","2413","2347","1411","1605","1614","1729"
"AT1G01471","0","0","0","0","0","0"
"AT1G01480","148","379","618","186","372","391"
"AT1G01490","1865","2122","2301","2827","3663","3803"
"AT1G01500","254","315","349","458","490","460"
"AT1G01510","1882","1522","1383","1549","1440","1087"
"AT1G01520","33","21","8","12","6","6"
"AT1G01530","0","0","0","0","0","1"
"AT1G01540","4095","3476","3279","2950","2940","2156"
"AT1G01550","5470","6370","7338","8179","9534","8893"
"AT1G01560","4","175","505","158","359","385"
"AT1G01570","68","75","70","67","55","47"
"AT1G01580","53","28","33","119","5","9"
"AT1G01590","2","3","6","1","0","0"
"AT1G01600","1138","1203","1252","898","767","702"
"AT1G01610","2602","3708","3235","2678","2922","2717"
"AT1G01620","49507","49596","28378","60131","51173","44171"
"AT1G01630","1791","1825","2172","2076","2081","1900"
"AT1G01640","217","313","305","624","498","373"
"AT1G01650","1816","1506","1314","1740","1670","1412"
"AT1G01660","33","12","33","28","8","7"
