"Geneid","logFC","logCPM","PValue","FDR"
"AT2G04170",4.12971047754991,7.08830587647921,6.85817364699751e-53,1.28199839983324e-48
"AT3G23190",4.71370517167996,7.2537876452601,3.49871816717331e-52,6.53980399808036e-48
"AT5G41290",7.15151111373246,6.33444875280224,5.51390602829504e-41,1.03060417574863e-36
"AT1G44050",4.09287017510789,4.6544005672589,1.40872245245651e-36,2.63290226364121e-32
"AT3G50200",4.89174462799142,3.53681191447126,3.00113040772564e-36,5.60881261899845e-32
"AT4G13890",4.01325847632739,5.16815228062846,5.81034715935311e-34,1.08583767713991e-29
"AT1G31580",8.16814068098967,8.47259784672741,1.56794124333371e-33,2.9300118014177e-29
"AT5G42530",5.14939340371428,6.62144993063307,3.00913095153061e-32,5.62286209603011e-28
"AT3G12220",5.00614610504411,4.69510932605639,2.89676570393537e-31,5.41260671780324e-27
"AT3G22235",7.05528985529224,6.06432899685826,1.21271086865267e-30,2.26582898699065e-26
"AT1G24320",4.12113641444371,5.54461166551202,1.54398313549812e-30,2.88462369205115e-26
"AT1G61840",2.5385671697496,5.20348720989893,1.8281778952517e-30,3.41540194390923e-26
"AT5G03860",-3.50035096755879,6.93457370421037,5.55800816653828e-30,1.03829150559102e-25
"AT3G27070",5.36616706524682,5.11918309183159,1.6449404160105e-27,3.07274869710762e-23
"AT4G09770",3.45441889816636,3.74163588470278,1.72422946976665e-27,3.22068822657713e-23
"AT1G49750",2.18849746149885,5.28257038551491,3.57924869062104e-27,6.68532070434198e-23
"AT3G20590",4.80158248146838,3.81699409490588,3.67516433779224e-27,6.86410443369457e-23
"AT4G19750",10.0435643553001,8.1454600526708,1.52347421248893e-26,2.84524043924433e-22
"AT1G16260",1.95718722933998,5.25720305988179,1.23298110442388e-25,2.3025922125116e-21
"AT1G06350",-1.98533125512915,4.62245880010165,3.99075012059266e-25,7.45232677519474e-21
"AT5G24530",2.29598130158492,6.95545519675294,4.57564890095846e-25,8.54410919275974e-21
"AT2G30660",7.39447299153172,5.84685748422519,9.2267794266141e-25,1.72282425453739e-20
"AT3G61198",3.91921446243736,5.37599367959133,2.16015206088904e-24,4.03321991288592e-20
"AT3G47250",2.4642079405013,4.17345951720202,3.65422200836486e-24,6.82243248961719e-20
"AT2G43920",8.04020073701605,7.33655947729842,7.31068067895148e-24,1.36483097595345e-19
"AT1G03400",3.89516467618582,4.09991985708393,2.84788977504596e-23,5.31644063205581e-19
"AT2G32160",2.95900003645353,3.16921763825443,3.01462153673224e-23,5.62739402261808e-19
"AT1G66970",4.52942095032503,5.00698452915237,1.14387253393986e-22,2.13515247185214e-18
"AT5G44920",2.03649488277131,5.63476923180438,1.70376689658409e-22,3.18008091247421e-18
"AT1G15630",5.12707725093022,4.8140649007316,3.30994620835126e-22,6.17768360326679e-18
"AT3G13090",3.71100103204244,5.24496328981668,3.02339915631849e-21,5.64256984543719e-17
"AT3G23175",2.88516860352648,6.99616337210496,3.22533308028302e-21,6.01911659442417e-17
"AT5G45110",1.97304683685189,6.96253980279594,3.63587954248338e-21,6.78491481422824e-17
"AT1G02230",2.21942207210197,3.12854189019389,5.59519495794924e-21,1.04406337915333e-16
"AT4G10860",5.99739882308024,4.35638123027236,7.37677843328347e-21,1.37643308786636e-16
"AT3G22231",5.30636513073908,4.74633929505352,2.18027813478703e-20,4.06796294388564e-16
"AT4G25940",1.96637799585409,4.36420292842781,2.48471776897514e-20,4.63573794157692e-16
"AT1G14790",1.82538906668759,4.39945091499649,2.71199665393937e-20,5.05950095758929e-16
"AT3G11340",2.47136564798668,8.95765730335095,3.78661858336357e-20,7.06393696726474e-16
"AT5G45510",2.09282525156122,9.89248524901974,4.6304669227024e-20,8.63767299760905e-16
"AT4G29690",-2.32319871661253,4.21082349889719,5.38661141231599e-20,1.0047646267393e-15
"AT5G41280",6.55958626266093,5.79088133704708,7.81428735001334e-20,1.45752087652449e-15
"AT3G11390",2.88971132713988,3.30193938173276,2.66024741886114e-19,4.96162746091792e-15
"AT1G12740",-2.34014674561508,3.31082891100457,3.07072212836084e-19,5.72689676939296e-15
"AT4G03440",2.51346295241625,3.96238304314341,3.09200656085264e-19,5.76628303533409e-15
"AT5G26670",-1.98196077310892,3.74044873165158,3.94882969843053e-19,7.36377762163326e-15
"AT5G03350",5.18792475567535,6.54051356020412,1.07700855629415e-18,2.0082978549217e-14
"AT5G48300",-1.88009800743624,5.35724495880084,1.17814974218445e-18,2.19677800927712e-14
"AT3G56400",3.48998201256795,6.19888679325738,1.9520833047579e-18,3.6396593217211e-14
"AT2G30550",2.36428601668018,7.40430556381383,3.61963153175193e-18,6.74844102779829e-14
"AT4G37670",3.68230191163749,3.27459949534639,3.6929623633756e-18,6.88478973404112e-14
"AT3G46190",5.50360347934386,4.78118439468192,4.75682104053633e-18,8.86766578376783e-14
"AT5G45500",2.02867818358377,8.38006458337571,5.76347474404445e-18,1.07436932703733e-13
"AT1G58150",2.10709509433292,3.67915191130764,1.22090493335088e-17,2.27576679576603e-13
"AT1G55490",-2.05752001889053,7.94437761957631,1.60006154542451e-17,2.98235471451675e-13
"AT5G39210",-2.38616398409897,2.43261194385044,2.02212162864969e-17,3.7688302914773e-13
"AT5G09710",2.62824562968887,2.09995249816901,2.05441738310178e-17,3.82881767688679e-13
"AT5G35740",-1.94085909502113,4.13943305208471,2.08850335689894e-17,3.89213485591686e-13
"AT4G25100",-1.74563062501951,7.99946714925272,4.04292337159362e-17,7.53398770296471e-13
"AT1G03630",-1.781211720186,4.55789079352666,4.14500068037241e-17,7.72379426780594e-13
"AT3G11370",2.46748903694211,3.17569829230344,5.40935956948949e-17,1.00792596858298e-12
"AT3G25882",3.23133270541156,3.9713300500853,6.61952909432598e-17,1.23335066085482e-12
"AT4G36880",-2.53234410710507,7.481233168673,6.92266366259547e-17,1.28976146697816e-12
"AT3G47040",4.13884562465778,5.28354384035437,1.08938185394426e-16,2.02951839389816e-12
"AT1G17650",-1.88503867868439,4.14390167591669,1.18750634375819e-16,2.21220556778713e-12
"AT5G51100",-1.71418630556029,4.10018366141672,1.32312107780667e-16,2.46470994373827e-12
"AT5G45380",1.55334783259843,4.93264770582172,1.56874092051617e-16,2.92209371264546e-12
"AT2G43910",2.00330882778172,7.90390484671432,2.16306213861382e-16,4.0289195393821e-12
"AT3G46500",2.47096104573443,3.25337138073018,5.75478262338128e-16,1.07182826360476e-11
"AT3G63160",-2.43318751686634,5.19619530340879,7.13305476244535e-16,1.32846011895782e-11
"AT4G25090",2.78422697169665,6.32589129980325,9.89334373285946e-16,1.84243740337042e-11
"AT5G44460",1.73519909132028,4.94421102761716,1.46325933746698e-15,2.72488153823101e-11
"AT3G48460",-1.4359043082719,5.27184024497766,1.47350400132262e-15,2.74381180086284e-11
"AT3G16250",-1.77755294935418,2.87082316193815,3.14782676902098e-15,5.86125344391707e-11
"AT1G13750",1.89413943095579,4.5174639302621,4.20264383288853e-15,7.82490255245516e-11
"AT1G28480",2.90897298659699,3.31885614636101,4.93426075736501e-15,9.18660667806218e-11
